topic,keywords,documents,avg_sentiment,dominant_esg
25,disclosures | financial | tcfd | task | force,10,0.8511479735374451,G
13,report | nonfinancial | sustainability | reporting | gri,14,0.884080844266074,G
-1,and | the | of | in | to,244,0.8067883282411293,E
19,assurance | independent | limited | nonfinancial | auditors,12,0.9221083521842957,G
39,carbon | footprints | track | committed | own,6,0.7661808927853903,E
0,zero | net | roadmap | by | emissions,42,0.7699114403554371,E
22,sap | supervisory | board | meetings | ifrs,11,0.8897675600918856,G
7,esg | sustainability | degree | framework | 2050,23,0.8264786704726841,G
1,board | supervisory | the | management | executive,32,0.8837972972542048,G
8,inclusion | equity | diversity | diverse | promote,22,0.7751222875985232,S
21,we | values | ambitions | 360degree | make,11,0.7054515914483503,E
6,governance | corporate | code | blueprint | german,24,0.9148491794864336,G
29,emissions | ghg | scopes | reductions | scope,9,0.8547636336750455,E
11,safety | health | 10 | occupational | and,17,0.905098063104293,S
2,climate | change | transparency | scenarios | to,32,0.8040319047868252,E
4,protection | environmental | climate | successes | gold,28,0.8982493898698262,E
34,must | more | solving | went | ultimately,7,0.7955199309757778,E
41,circular | economy | compatible | construction | guidelines,6,0.7410825192928314,E
43,percent | volume | procurement | cr | segment,5,0.8973376750946045,G
26,digital | built | no | positive | into,10,0.7901389300823212,E
32,neutrality | coe | co | 4year | total,8,0.7247164323925972,E
5,human | rights | and | diligence | integrity,25,0.8030040574073791,G
37,cr | groupwide | segments | gcr | body,7,0.928675753729684,G
42,sbti | initiative | targets | approved | science,6,0.7750008503595988,E
3,tui | group | agenda | sustainability | page,30,0.7987818360328675,G
30,gstc | tourism | criteria | travel | experiences,9,0.7994433575206332,E
40,retain | identity | labour | tui | market,6,0.854745497306188,S
24,risks | risk | review | whether | or,10,0.8962717056274414,G
23,night | hotels | cruise | relative | passenger,11,0.8188739581541582,E
27,fuel | aircraft | fuels | saf | instance,9,0.8176576693852743,E
45,co | equivalents | airlines | figures | impacting,5,0.8081145048141479,E
35,tonnes | co2e | co2 | million | removals,7,0.8404034801891872,E
36,water | sdg | we | agriculture | reduce,7,0.7120201757975987,E
28,hr | evp | employer | period | tui,9,0.8107607894473605,S
17,employees | employee | hours | proportion | volunteer,13,0.7881708190991328,S
38,women | gender | sep | meeting | diversity,7,0.829977308000837,S
44,bank | controls | clients | banks | addition,5,0.7199297070503234,G
9,biodiversity | nature | forests | deforestationfree | and,19,0.76185426743407,E
20,million | tonnes | emissions | footprint | 074,11,0.8516856269402937,E
14,regenerative | agriculture | practices | agricultural | waste,14,0.8030263653823307,E
12,farmers | change | agriculture | smallholder | climate,15,0.733391257127126,E
16,bayer | crop | where | health | mental,14,0.7480550152914864,E
33,equality | gender | lmics | health | assembly,8,0.7029435038566589,S
31,packaging | cop28 | pack | less | consumer,9,0.7224868072403802,E
10,volkswagen | groups | group | dna | the,18,0.8985351026058197,G
18,dairy | emissions | ch4 | farmers | methane,12,0.7757923205693563,E
15,siemens | sustainability | for | company | foreword,14,0.7905979028769902,G
